fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
18 sept 2024,11589,11770,11322,11337,11335,310318900
17 sept 2024,11817,11880,11483,11559,11557,231925900
16 sept 2024,11679,11818,11436,11678,11676,248772300
13 sept 2024,11908,11996,11760,11910,11908,238358300
12 sept 2024,11684,12079,11538,11914,11912,367100500
11 sept 2024,10939,11719,10742,11691,11688,441422400
10 sept 2024,10781,10940,10495,10810,10807,268283700
9 sept 2024,10488,10655,10369,10647,10644,273912000
6 sept 2024,10804,10815,10095,10283,10280,413638100
5 sept 2024,10499,10965,10476,10721,10718,306850700
4 sept 2024,10541,11327,10412,10621,10618,372470300
3 sept 2024,11601,11621,10729,10800,10797,477155100
30 ago 2024,11953,12175,11722,11937,11934,333751600
29 ago 2024,12136,12443,11671,11759,11756,453023300
28 ago 2024,12812,12833,12264,12561,12558,448101100
27 ago 2024,12505,12920,12388,12830,12827,303134600
26 ago 2024,12957,13126,12437,12646,12643,331964700
23 ago 2024,12586,12960,12522,12937,12934,323230300
22 ago 2024,13002,13075,12310,12374,12371,376189100
21 ago 2024,12732,12935,12666,12850,12847,257883600
20 ago 2024,12840,12988,12589,12725,12722,300087400
19 ago 2024,12428,13000,12342,13000,12997,318333600
16 ago 2024,12194,12500,12118,12458,12455,302589900
15 ago 2024,11876,12324,11747,12286,12283,318086700
14 ago 2024,11853,11860,11407,11808,11805,339246400
13 ago 2024,11244,11623,11158,11614,11611,312646700
12 ago 2024,10632,11107,10626,10902,10899,325559900
9 ago 2024,10564,10660,10343,10475,10472,290844200
8 ago 2024,10200,10550,9752,10497,10494,391910000
7 ago 2024,10781,10880,9869,9891,9889,411440400
6 ago 2024,10384,10771,10055,10425,10422,409012100
5 ago 2024,9206,10341,9069,10045,10043,552842400
2 ago 2024,10376,10872,10137,10727,10724,482027500
1 ago 2024,11753,12016,10681,10921,10918,523462300
31 jul 2024,11290,11834,11088,11702,11699,473174200
30 jul 2024,11152,11199,10254,10373,10370,486833300
29 jul 2024,11369,11628,11130,11159,11156,248152100
26 jul 2024,11619,11620,11158,11306,11303,293399100
25 jul 2024,11304,11663,10630,11228,11225,460067000
24 jul 2024,11917,11995,11344,11425,11422,327776900
23 jul 2024,12278,12469,12210,12259,12256,173911000
22 jul 2024,12035,12407,11986,12354,12351,258068900
19 jul 2024,12035,12160,11737,11793,11790,217223800
18 jul 2024,12185,12240,11656,12109,12106,320979500
17 jul 2024,12135,12185,11672,11799,11796,390086200
16 jul 2024,12844,12904,12458,12636,12633,214769500
15 jul 2024,13056,13139,12718,12844,12841,208326200
12 jul 2024,12826,13192,12722,12924,12921,252680500
11 jul 2024,13575,13615,12705,12740,12737,374782700
10 jul 2024,13403,13510,13242,13491,13488,248978600
9 jul 2024,13035,13382,12865,13138,13135,285366600
8 jul 2024,12749,13077,12704,12820,12817,237677300
